"id","obsID","alt","choice","price","feat","brand","dannon","hiland","weight","yoplait"
1,1,1,0,8.1,0,"dannon",1,0,0,0
1,1,2,0,6.1000001,0,"hiland",0,1,0,0
1,1,3,1,7.9000004,0,"weight",0,0,1,0
1,1,4,0,10.8,0,"yoplait",0,0,0,1
1,2,1,1,9.7999997,0,"dannon",1,0,0,0
1,2,2,0,6.4000003,0,"hiland",0,1,0,0
1,2,3,0,7.5000003,0,"weight",0,0,1,0
1,2,4,0,10.8,0,"yoplait",0,0,0,1
1,3,1,1,9.7999997,0,"dannon",1,0,0,0
1,3,2,0,6.1000001,0,"hiland",0,1,0,0
1,3,3,0,8.6000003,0,"weight",0,0,1,0
1,3,4,0,10.8,0,"yoplait",0,0,0,1
1,4,1,1,9.7999997,0,"dannon",1,0,0,0
1,4,2,0,6.1000001,0,"hiland",0,1,0,0
1,4,3,0,8.6000003,0,"weight",0,0,1,0
1,4,4,0,10.8,0,"yoplait",0,0,0,1
1,5,1,1,9.7999997,0,"dannon",1,0,0,0
1,5,2,0,4.8999999,0,"hiland",0,1,0,0
1,5,3,0,7.9000004,0,"weight",0,0,1,0
1,5,4,0,12.5,0,"yoplait",0,0,0,1
1,6,1,1,9.2,0,"dannon",1,0,0,0
1,6,2,0,5.0000001,0,"hiland",0,1,0,0
1,6,3,0,7.9000004,0,"weight",0,0,1,0
1,6,4,0,10.8,0,"yoplait",0,0,0,1
1,7,1,1,8.1,0,"dannon",1,0,0,0
1,7,2,0,4.8999999,0,"hiland",0,1,0,0
1,7,3,0,7.9000004,0,"weight",0,0,1,0
1,7,4,0,10.3,0,"yoplait",0,0,0,1
1,8,1,0,8.6000003,0,"dannon",1,0,0,0
1,8,2,0,5.4000001,0,"hiland",0,1,0,0
1,8,3,1,7.9000004,0,"weight",0,0,1,0
1,8,4,0,10.8,0,"yoplait",0,0,0,1
2,9,1,0,9.7999997,0,"dannon",1,0,0,0
2,9,2,0,5.0000001,0,"hiland",0,1,0,0
2,9,3,0,7.9000004,0,"weight",0,0,1,0
2,9,4,1,10.8,0,"yoplait",0,0,0,1
2,10,1,0,9.7999997,0,"dannon",1,0,0,0
2,10,2,0,5.0000001,0,"hiland",0,1,0,0
2,10,3,0,7.9000004,0,"weight",0,0,1,0
2,10,4,1,10.8,0,"yoplait",0,0,0,1
