"id","choice","obsID","brand","feat","price","dannon","hiland","yoplait"
1,0,1,"dannon",0,8.1,1,0,0
1,0,1,"hiland",0,6.1000001,0,1,0
1,1,1,"weight",0,7.9000004,0,0,0
1,0,1,"yoplait",0,10.8,0,0,1
1,1,2,"dannon",0,9.7999997,1,0,0
1,0,2,"hiland",0,6.4000003,0,1,0
1,0,2,"weight",0,7.5000003,0,0,0
1,0,2,"yoplait",0,10.8,0,0,1
1,1,3,"dannon",0,9.7999997,1,0,0
1,0,3,"hiland",0,6.1000001,0,1,0
1,0,3,"weight",0,8.6000003,0,0,0
1,0,3,"yoplait",0,10.8,0,0,1
1,1,4,"dannon",0,9.7999997,1,0,0
1,0,4,"hiland",0,6.1000001,0,1,0
1,0,4,"weight",0,8.6000003,0,0,0
1,0,4,"yoplait",0,10.8,0,0,1
1,1,5,"dannon",0,9.7999997,1,0,0
1,0,5,"hiland",0,4.8999999,0,1,0
1,0,5,"weight",0,7.9000004,0,0,0
1,0,5,"yoplait",0,12.5,0,0,1
1,1,6,"dannon",0,9.2,1,0,0
1,0,6,"hiland",0,5.0000001,0,1,0
1,0,6,"weight",0,7.9000004,0,0,0
1,0,6,"yoplait",0,10.8,0,0,1
1,1,7,"dannon",0,8.1,1,0,0
1,0,7,"hiland",0,4.8999999,0,1,0
1,0,7,"weight",0,7.9000004,0,0,0
1,0,7,"yoplait",0,10.3,0,0,1
1,0,8,"dannon",0,8.6000003,1,0,0
1,0,8,"hiland",0,5.4000001,0,1,0
1,1,8,"weight",0,7.9000004,0,0,0
1,0,8,"yoplait",0,10.8,0,0,1
2,0,9,"dannon",0,9.7999997,1,0,0
2,0,9,"hiland",0,5.0000001,0,1,0
2,0,9,"weight",0,7.9000004,0,0,0
2,1,9,"yoplait",0,10.8,0,0,1
2,0,10,"dannon",0,9.7999997,1,0,0
2,0,10,"hiland",0,5.0000001,0,1,0
2,0,10,"weight",0,7.9000004,0,0,0
2,1,10,"yoplait",0,10.8,0,0,1
2,0,11,"dannon",0,9.7999997,1,0,0
2,0,11,"hiland",0,5.0000001,0,1,0
2,0,11,"weight",0,7.9000004,0,0,0
2,1,11,"yoplait",0,10.8,0,0,1
2,0,12,"dannon",0,9.7999997,1,0,0
2,0,12,"hiland",0,5.0000001,0,1,0
2,0,12,"weight",0,7.9000004,0,0,0
2,1,12,"yoplait",0,10.8,0,0,1
2,0,13,"dannon",0,8.1,1,0,0
2,0,13,"hiland",0,5.0000001,0,1,0
2,1,13,"weight",0,8.6000003,0,0,0
2,0,13,"yoplait",0,10.8,0,0,1
2,0,14,"dannon",0,8.1,1,0,0
2,0,14,"hiland",0,5.0000001,0,1,0
2,1,14,"weight",0,8.6000003,0,0,0
2,0,14,"yoplait",0,10.8,0,0,1
2,0,15,"dannon",0,8.1,1,0,0
2,0,15,"hiland",0,5.0000001,0,1,0
2,1,15,"weight",0,7.9000004,0,0,0
2,0,15,"yoplait",0,10.8,0,0,1
2,0,16,"dannon",0,8.1,1,0,0
2,0,16,"hiland",0,5.0000001,0,1,0
2,1,16,"weight",0,7.9000004,0,0,0
2,0,16,"yoplait",0,10.8,0,0,1
2,0,17,"dannon",0,8.1,1,0,0
2,0,17,"hiland",0,5.0000001,0,1,0
2,1,17,"weight",0,7.9000004,0,0,0
2,0,17,"yoplait",0,10.8,0,0,1
2,0,18,"dannon",0,8.1,1,0,0
2,0,18,"hiland",0,5.0000001,0,1,0
2,1,18,"weight",0,7.9000004,0,0,0
2,0,18,"yoplait",0,10.8,0,0,1
2,0,19,"dannon",0,8.1,1,0,0
2,0,19,"hiland",0,5.0000001,0,1,0
2,1,19,"weight",0,7.9000004,0,0,0
2,0,19,"yoplait",0,10.8,0,0,1
2,0,20,"dannon",0,8.1,1,0,0
2,0,20,"hiland",0,5.0000001,0,1,0
2,1,20,"weight",0,8.1,0,0,0
2,0,20,"yoplait",0,10.8,0,0,1
2,0,21,"dannon",0,8.1,1,0,0
2,0,21,"hiland",0,5.0000001,0,1,0
2,1,21,"weight",0,7.9000004,0,0,0
2,0,21,"yoplait",0,10.8,0,0,1
2,0,22,"dannon",0,8.1,1,0,0
2,0,22,"hiland",0,5.0000001,0,1,0
2,1,22,"weight",0,7.9000004,0,0,0
2,0,22,"yoplait",0,10.8,0,0,1
2,0,23,"dannon",0,8.1,1,0,0
2,0,23,"hiland",0,5.0000001,0,1,0
2,1,23,"weight",0,7.9000004,0,0,0
2,0,23,"yoplait",0,10.8,0,0,1
2,0,24,"dannon",0,8.1,1,0,0
2,0,24,"hiland",0,5.0000001,0,1,0
2,1,24,"weight",0,8.1,0,0,0
2,0,24,"yoplait",0,10.8,0,0,1
2,0,25,"dannon",0,8.1,1,0,0
2,0,25,"hiland",0,5.0000001,0,1,0
2,1,25,"weight",0,7.9000004,0,0,0
2,0,25,"yoplait",0,11.2,0,0,1
2,0,26,"dannon",0,8.1,1,0,0
2,0,26,"hiland",0,5.0000001,0,1,0
2,1,26,"weight",0,7.9000004,0,0,0
2,0,26,"yoplait",0,11.2,0,0,1
2,0,27,"dannon",0,8.1,1,0,0
2,0,27,"hiland",0,5.0000001,0,1,0
2,1,27,"weight",0,7.9000004,0,0,0
2,0,27,"yoplait",0,11.2,0,0,1
2,0,28,"dannon",0,8.1,1,0,0
2,0,28,"hiland",0,5.0000001,0,1,0
2,1,28,"weight",0,8.1,0,0,0
2,0,28,"yoplait",0,10.8,0,0,1
3,1,29,"dannon",0,4.8999999,1,0,0
3,0,29,"hiland",0,6.1000001,0,1,0
3,0,29,"weight",0,7.9000004,0,0,0
3,0,29,"yoplait",0,11,0,0,1
3,1,30,"dannon",0,4.4,1,0,0
3,0,30,"hiland",0,4.8999999,0,1,0
3,0,30,"weight",0,7.9000004,0,0,0
3,0,30,"yoplait",0,10.3,0,0,1
3,1,31,"dannon",0,4.4,1,0,0
3,0,31,"hiland",0,4.8999999,0,1,0
3,0,31,"weight",0,7.9000004,0,0,0
3,0,31,"yoplait",0,10.3,0,0,1
3,0,32,"dannon",0,9.4999999,1,0,0
3,0,32,"hiland",0,5.7999998,0,1,0
3,0,32,"weight",0,10.3,0,0,0
3,1,32,"yoplait",0,3.2000002,0,0,1
3,0,33,"dannon",0,9.4999999,1,0,0
3,0,33,"hiland",0,5.7999998,0,1,0
3,0,33,"weight",0,10.3,0,0,0
3,1,33,"yoplait",0,10.8,0,0,1
3,0,34,"dannon",0,9.4999999,1,0,0
3,0,34,"hiland",0,5.7999998,0,1,0
3,0,34,"weight",0,10.3,0,0,0
3,1,34,"yoplait",0,10.8,0,0,1
3,0,35,"dannon",0,8.6000003,1,0,0
3,0,35,"hiland",0,5.4000001,0,1,0
3,0,35,"weight",0,7.9000004,0,0,0
3,1,35,"yoplait",0,5.5,0,0,1
3,0,36,"dannon",0,8.6000003,1,0,0
3,0,36,"hiland",0,5.4000001,0,1,0
3,0,36,"weight",0,7.9000004,0,0,0
3,1,36,"yoplait",0,8.2999997,0,0,1
3,0,37,"dannon",0,8.6000003,1,0,0
3,0,37,"hiland",0,5.4000001,0,1,0
3,0,37,"weight",0,7.9000004,0,0,0
3,1,37,"yoplait",0,8.2999997,0,0,1
3,0,38,"dannon",0,8.6000003,1,0,0
3,0,38,"hiland",0,5.6000002,0,1,0
3,0,38,"weight",1,6.3000001,0,0,0
3,1,38,"yoplait",0,11.5,0,0,1
3,0,39,"dannon",0,8.6000003,1,0,0
3,0,39,"hiland",0,5.6000002,0,1,0
3,0,39,"weight",1,6.3000001,0,0,0
3,1,39,"yoplait",0,3.2000002,0,0,1
3,0,40,"dannon",0,8.6000003,1,0,0
3,0,40,"hiland",0,6.1000001,0,1,0
3,1,40,"weight",1,6.3000001,0,0,0
3,0,40,"yoplait",0,11.5,0,0,1
3,1,41,"dannon",0,5.5,1,0,0
3,0,41,"hiland",0,6.1000001,0,1,0
3,0,41,"weight",0,6.4000003,0,0,0
3,0,41,"yoplait",0,11.5,0,0,1
3,1,42,"dannon",0,6.3000001,1,0,0
3,0,42,"hiland",1,6.1000001,0,1,0
3,0,42,"weight",0,7.9000004,0,0,0
3,0,42,"yoplait",0,11.5,0,0,1
3,1,43,"dannon",0,3.0999999,1,0,0
3,0,43,"hiland",0,6.1000001,0,1,0
3,0,43,"weight",1,6.3000001,0,0,0
3,0,43,"yoplait",0,4.1999999,0,0,1
4,0,44,"dannon",0,8.1,1,0,0
4,1,44,"hiland",0,6.6,0,1,0
4,0,44,"weight",0,7.9000004,0,0,0
4,0,44,"yoplait",0,11,0,0,1
4,0,45,"dannon",0,8.1,1,0,0
4,1,45,"hiland",0,6.6,0,1,0
4,0,45,"weight",0,7.9000004,0,0,0
4,0,45,"yoplait",0,11,0,0,1
4,1,46,"dannon",0,8.1,1,0,0
4,0,46,"hiland",0,6.6,0,1,0
4,0,46,"weight",0,7.9000004,0,0,0
4,0,46,"yoplait",0,13.500001,0,0,1
4,1,47,"dannon",0,8.1,1,0,0
4,0,47,"hiland",0,6.6,0,1,0
4,0,47,"weight",0,7.9000004,0,0,0
4,0,47,"yoplait",0,13.500001,0,0,1
4,0,48,"dannon",0,8.1,1,0,0
4,1,48,"hiland",0,6.1000001,0,1,0
4,0,48,"weight",0,7.9000004,0,0,0
4,0,48,"yoplait",0,11,0,0,1
4,0,49,"dannon",0,8.1,1,0,0
4,1,49,"hiland",0,6.1000001,0,1,0
4,0,49,"weight",0,7.9000004,0,0,0
4,0,49,"yoplait",0,11,0,0,1
4,0,50,"dannon",0,8.1,1,0,0
4,1,50,"hiland",0,4.8999999,0,1,0
4,0,50,"weight",0,7.9000004,0,0,0
4,0,50,"yoplait",0,10.3,0,0,1
4,1,51,"dannon",0,8.6000003,1,0,0
4,0,51,"hiland",0,5.0000001,0,1,0
4,0,51,"weight",0,7.9000004,0,0,0
4,0,51,"yoplait",0,10.8,0,0,1
4,1,52,"dannon",0,8.6000003,1,0,0
4,0,52,"hiland",1,6.1000001,0,1,0
4,0,52,"weight",0,7.9000004,0,0,0
4,0,52,"yoplait",0,11.2,0,0,1
4,0,53,"dannon",0,8.6000003,1,0,0
4,0,53,"hiland",0,5.4000001,0,1,0
4,0,53,"weight",0,7.9000004,0,0,0
4,1,53,"yoplait",0,2.5,0,0,1
4,0,54,"dannon",0,8.6000003,1,0,0
4,0,54,"hiland",1,2.5,0,1,0
4,0,54,"weight",0,7.9000004,0,0,0
4,1,54,"yoplait",0,5.7999998,0,0,1
4,0,55,"dannon",0,8.6000003,1,0,0
4,0,55,"hiland",1,2.5,0,1,0
4,0,55,"weight",0,7.9000004,0,0,0
4,1,55,"yoplait",0,5.7999998,0,0,1
4,0,56,"dannon",0,8.6000003,1,0,0
4,0,56,"hiland",0,6.1000001,0,1,0
4,1,56,"weight",1,6.3000001,0,0,0
4,0,56,"yoplait",0,11.5,0,0,1
4,1,57,"dannon",0,1.8999999,1,0,0
4,0,57,"hiland",0,5.4000001,0,1,0
4,0,57,"weight",0,7.9000004,0,0,0
4,0,57,"yoplait",0,11,0,0,1
5,0,58,"dannon",0,9.7999997,1,0,0
5,0,58,"hiland",0,4.8999999,0,1,0
5,0,58,"weight",0,7.9000004,0,0,0
5,1,58,"yoplait",0,10.3,0,0,1
5,0,59,"dannon",0,9.7999997,1,0,0
5,0,59,"hiland",0,4.8999999,0,1,0
5,0,59,"weight",0,7.9000004,0,0,0
5,1,59,"yoplait",0,10.3,0,0,1
5,0,60,"dannon",0,9.7999997,1,0,0
5,0,60,"hiland",0,4.8999999,0,1,0
5,0,60,"weight",0,7.9000004,0,0,0
5,1,60,"yoplait",0,10.3,0,0,1
5,1,61,"dannon",0,8.6000003,1,0,0
5,0,61,"hiland",0,5.4000001,0,1,0
5,0,61,"weight",0,7.9000004,0,0,0
5,0,61,"yoplait",0,10.8,0,0,1
5,1,62,"dannon",0,8.6000003,1,0,0
5,0,62,"hiland",0,5.4000001,0,1,0
5,0,62,"weight",0,7.9000004,0,0,0
5,0,62,"yoplait",0,10.8,0,0,1
5,1,63,"dannon",0,8.6000003,1,0,0
5,0,63,"hiland",0,5.4000001,0,1,0
5,0,63,"weight",0,7.9000004,0,0,0
5,0,63,"yoplait",0,10.8,0,0,1
5,0,64,"dannon",0,8.6000003,1,0,0
5,0,64,"hiland",0,5.4000001,0,1,0
5,0,64,"weight",0,7.9000004,0,0,0
5,1,64,"yoplait",0,10.8,0,0,1
5,0,65,"dannon",0,8.6000003,1,0,0
5,0,65,"hiland",0,5.4000001,0,1,0
5,0,65,"weight",0,7.9000004,0,0,0
5,1,65,"yoplait",0,10.8,0,0,1
5,1,66,"dannon",0,8.6000003,1,0,0
5,0,66,"hiland",0,5.4000001,0,1,0
5,0,66,"weight",0,7.9000004,0,0,0
5,0,66,"yoplait",0,10.8,0,0,1
5,1,67,"dannon",0,8.6000003,1,0,0
5,0,67,"hiland",0,5.4000001,0,1,0
5,0,67,"weight",0,7.9000004,0,0,0
5,0,67,"yoplait",0,10.8,0,0,1
5,1,68,"dannon",0,8.6000003,1,0,0
5,0,68,"hiland",0,2.5,0,1,0
5,0,68,"weight",0,7.9000004,0,0,0
5,0,68,"yoplait",0,10.8,0,0,1
5,1,69,"dannon",0,8.6000003,1,0,0
